name,description,symptoms,treating,causes/preventing,common state,link
Acute cholecystitis,"Acute cholecystitis is inflammation of the gallbladder. It usually, but not always, occurs when a gallstone blocks the cystic duct. Acute cholecystitis is potentially serious. It usually needs to be treated in hospital.","Gallstones are small stones that form in the gallbladder. They are formed from bile. This is a substance stored in the gallbladder and released into the gut. It helps to digest the fats we eat in food.

Bile contains a mixture of salts, cholesterol and bilirubin. Bilirubin is formed by the breakdown of red blood cells in the body.

Gallstones usually (but not always) develop when cholesterol levels in the bile are too high, and excess cholesterol turns into stones.

Gallstones are very common. They don't usually cause symptoms, but they can occasionally cause episodes of pain (biliary colic) or acute cholecystitis.

The main symptom of acute cholecystitis is a sudden sharp pain in the upper right-hand side of your tummy (abdomen). This pain spreads towards your right shoulder.

Unlike other types of abdominal pain, the pain of acute cholecystitis is usually persistent. The pain doesn't usually go away within a few hours.

Some people may have other symptoms, such as:
- a high temperature (fever)
- nausea and vomiting
- sweating
- loss of appetite
- yellowing of the skin and the whites of the eyes (jaundice)
- a bulge in the abdomen","If you're diagnosed with acute cholecystitis, you'll probably need to be admitted to hospital for treatment.

After initial treatment, any gallstones that may have caused acute cholecystitis usually fall back into the gallbladder. The inflammation will often calm down.

#Surgery
Removing your gallbladder may be recommended at some point after initial treatment. This is to prevent acute cholecystitis recurring. This is also to reduce your risk of developing potentially serious complications. 

The consultant surgeon at the hospital will discuss with you whether surgery is the best option.

Although some people who've had their gallbladder removed have reported symptoms of bloating and diarrhoea after eating certain foods, it's possible to lead a perfectly normal life without a gallbladder.

The organ is useful, but it's not essential.","It isn't always possible to prevent acute cholecystitis. You can lower your risk of developing it by reducing your risk of getting gallstones.

One of the main things you can do to lower your chances of getting gallstones is to adopt a healthy, balanced diet.  Also reducing the number of high-cholesterol foods you eat, as cholesterol is thought to contribute to the formation of gallstones.

Being overweight, particularly being obese, also increases your risk of developing gallstones. Having a healthy diet and exercise regularly is important to help maintain good health.

Low-calorie rapid weight loss diets should be avoided. A more gradual weight loss plan is best. ",FALSE,https://www.nidirect.gov.uk/conditions/acute-cholecystitis
Allergic rhinitis,"Allergic rhinitis is inflammation of the inside of the nose. It’s caused by an allergic reaction to an allergen, such as pollen, dust and the hair of certain animals. It’s a common condition. See your GP if your symptoms, see below, are stopping you from doing everyday activities.","Allergic rhinitis typically causes cold-like symptoms, such as:
- sneezing
- itchiness
- a blocked or runny nose

These symptoms usually start soon after being exposed to an allergen.

Some people only get allergic rhinitis for a few months at a time because they're sensitive to seasonal allergens, such as tree or grass pollen (hay fever). Other people get allergic rhinitis all year round.

Most people with allergic rhinitis have mild symptoms that can be easily treated. For some symptoms can be severe and persistent. They can cause sleep problems and interfere with everyday life.

The symptoms of allergic rhinitis occasionally improve with time. This can take many years and it's unlikely that the condition will disappear completely.

#Non-allergic rhinitis
Not all cases of rhinitis are caused by an allergic reaction. Some cases are the result of:
- an infection, such as the common cold
- oversensitive blood vessels in the nose
- overuse of nasal decongestants

This type of rhinitis is known as non-allergic rhinitis.","It's difficult to completely avoid potential allergens. You can take steps to reduce exposure to a particular allergen you know or suspect is triggering your allergic rhinitis.

You can also help reduce the symptoms by taking over-the-counter medications. Your pharmacist can advise you. Regularly rinsing your nasal passages with a salt water to keep it free of irritants can also help.","Allergic rhinitis is caused by the immune system reacting to an allergen as if it were harmful.

This results in cells releasing a number of chemicals that cause the inside layer of your nose (the mucous membrane) to become swollen and excessive levels of mucus to be produced.

Common allergens that cause allergic rhinitis include:
- pollen - this type of allergic rhinitis is known as hay fever
- mould spores
- house dust mites
- flakes of skin or droplets of urine or saliva from certain animals",FALSE,https://www.nidirect.gov.uk/conditions/allergic-rhinitis
Balanitis,"Balanitis is a skin irritation on the head of the penis that can affect men and boys. It's not usually serious, but you should see your GP if you think you or your son has balanitis.","Balanitis affects the head of the penis and the foreskin. 

It occurs far more often in men and boys who haven't been circumcised.

Symptoms include:
- a sore, itchy and smelly penis
- redness and swelling
- pus
- small, eroded, itchy spots/plaques may be present with a white cheese-like matter, which can be rubbed off easily
- pain when peeing

Some adults may also have a tight foreskin that won't pull back. This is a condition called phimosis.","Most cases of balanitis are easily treated with good hygiene and, if necessary, medication recommended by your GP.

See your GP if the treatment doesn't start to work within seven days. You may need another treatment or be advised to see a specialist.

Circumcision may be advised in rare cases where a child keeps getting balanitis.

#Hygiene
If you have balanitis, you should clean your penis daily with lukewarm water and gently dry it.
- don't use soap, bubble bath, shampoo or any other potential irritant
- dry gently under the foreskin after peeing
- try a soap substitute like an emollient, available from a pharmacy 

#Cleaning a child's penis
- don't pull back their foreskin to clean under it if it's still fixed
- if the child is still in nappies, change them often
- don't use baby wipes to clean their penis

#Sex and balanitis
You can have sex during treatment if your balanitis is not caused by infection.

If it's caused by an infection, like an STI or thrush, there's a risk of passing this on.","You can reduce your chances of getting balanitis by:
- keeping your penis clean
- avoiding harsh soaps and other skin irritants
- using soap substitutes, such as an emollient
- practising safe sex to avoid an STI
- using latex-free condoms if you have a latex allergy

Young boys may not yet be able to clean under their foreskin because it may not fully pull back yet. 

Don't try to pull back a child's foreskin to clean under it if it's still fixed, as this can cause damage.",FALSE,https://www.nidirect.gov.uk/conditions/balanitis
Boils and carbuncles,"Boils and carbuncles are red, painful lumps that form just under the surface of the skin. They are usually caused by a bacterial infection.","#Boils 

Boils can develop anywhere on your skin. But you're most likely to get a boil in an area where there's a combination of hair, sweat and friction, such as the face, neck, armpits or thighs.

Over time, pus forms inside the boil, making it bigger and more painful. Most boils eventually burst. The pus then drains away without leaving a scar. This can take from two days to three weeks to happen.

It can sometimes be difficult to tell the difference between a boil and a spot. But boils tend to grow bigger and become more painful. Your GP should be able to diagnose a boil from its appearance.

#Carbuncles
A carbuncle is a dome-shaped cluster of boils. It usually develops over a few days. The areas most commonly affected are the back, thighs, or back of the neck. 

A carbuncle can grow to a size of 3-10cm and will leak pus from a number of points.

You may also:
- have a high temperature of 38C (100.4F) or above
- feel generally unwell
- feel weak and exhausted

Carbuncles are less common than boils. They tend to mostly affect middle-aged or older men in poor health or with a weakened immune system. Boils are common in adolescents and young adults.","You're likely to need further treatment if you keep getting boils or carbuncles.

Most people who keep getting boils are carriers of Staphylococcus aureus (staph bacteria). This means they have staph bacteria living on their skin or inside their nose.

Treatment will depend on where the bacteria are found on your body. Your GP will advise you about treatment.

#Self care 
Most boils get better without the need for medical treatment.

One of the best ways to speed up healing is to apply a warm, moist face cloth to the boil for 10-20 minutes, three or four times a day.

Be careful not to use water that's too hot. Make sure the face cloth is not too warm to avoid a scald or burn. Test how warm it is using the skin on the back of your hand.

The heat increases the amount of blood circulating around the boil. This sends more infection-fighting white blood cells to the area.

When the boil bursts, cover it with sterile gauze or a dressing. This is to prevent the spread of infection.

Afterwards, wash your hands thoroughly using hot water and soap.

Never squeeze or pierce a boil because it could spread the infection.

You can use over-the-counter painkillers, such as paracetamol or ibuprofen, to help relieve any pain caused by the boil.","You can't always avoid getting a boil or carbuncle, but these simple steps can reduce your risk:
- wash your skin regularly using a mild antibacterial soap
- carefully clean any cuts, wounds or grazes (even small ones) 
- cover cuts, wounds and grazes with a sterile bandage until they heal
- eat healthily and exercise regularly to boost your immune system",FALSE,https://www.nidirect.gov.uk/conditions/boils-and-carbuncles
Botulism,"Botulism is a rare, life-threatening condition, with toxins that attack the nervous system. Most people make a full recovery with treatment. If not treated quickly paralysis can spread to the muscles controlling breathing. It can be fatal. Go to the nearest emergency department if you get any symptoms of paralysis.","The time it takes to develop symptoms can vary from a few hours to several days after exposure to the Clostridium botulinum bacteria or their toxins.

Depending on the exact type of the condition, some people have general symptoms to begin with, such as:
- feeling sick and vomiting
- stomach cramps
- diarrhoea or constipation

Without treatment, botulism eventually causes paralysis that spreads down the body from the head to the legs. Symptoms can include:
- drooping eyelids
- blurred or double vision
- facial muscle weakness
- difficulty swallowing
- slurred speech
- difficulty breathing

Affected babies may also have a weak cry, find it difficult to feed and have a floppy head, neck and limbs.","Botulism needs to be treated in hospital.

The way it's treated depends on which type of botulism you have, but treatment will usually involve:
- neutralising the toxins with injections of special antitoxins or antibodies
- supporting the functions of the body, such as breathing, until you recover

Treatment won't reverse any paralysis that's already been caused by the toxin, but it will stop it getting any worse.

In most people, paralysis that occurred before treatment will gradually improve over the following weeks or months.","As a result of high standards of food hygiene in Northern Ireland, the chances of getting food-borne botulism from food bought in this country is low.

There's a slightly higher risk if you produce your own food, particularly if this involves canning. Following food hygiene procedures and canning recommendations will reduce any risk.

You should also avoid eating food from visibly bulging or damaged cans, foul-smelling preserved foods, foods stored at the incorrect temperature and out of date foods.

Heroin users should avoid injecting heroin into their muscles. Injecting heroin into a vein or smoking it can reduce the risk of botulism, although not using heroin at all is by far the best course of action.

The specific cause is not identified in many cases of infant botulism, so it may not always be possible to prevent it. You should avoid giving honey to babies less than 12 months old because it has been known to contain Clostridium botulinum spores.",FALSE,https://www.nidirect.gov.uk/conditions/botulism
Cardiomyopathy,"Cardiomyopathy is a general term for diseases of the heart muscle, where the walls of the heart chambers have become stretched, thickened or stiff. This affects the heart's ability to pump blood around the body.","There may be no symptoms in the early stages of cardiomyopathy. As it gets worse symptoms can include:
- breathlessness - this may occur after activity or at rest; it may be worse when you're lying down, and you may wake up at night needing to catch your breath
- fatigue - you may feel tired most of the time and find exercise exhausting
- swollen ankles and legs - this is caused by a build-up of fluid (oedema); it may be better in the morning and get worse later in the day
- a bloated tummy
- a persistent cough, which may be worse at night
- a pounding, fluttering or irregular heartbeat (palpitations)
- dizziness and fainting","There's no cure for cardiomyopathy. But the treatments described below are usually effective at controlling symptoms and preventing complications.

Not everyone with cardiomyopathy will need treatment. Some people only have a mild form of the disease that they can control after making a few lifestyle changes.

#Lifestyle changes
If the cause of your cardiomyopathy isn't genetic, it should generally help to:
- follow a healthy diet and take gentle exercise
- quit smoking (if you smoke)
- lose weight (if you're overweight)
- avoid or reduce your intake of alcohol 
- get plenty of sleep
- manage stress
- make sure any underlying condition, such as diabetes, is well controlled ","Medication may be needed to control blood pressure, correct an abnormal heart rhythm, remove excess fluid or prevent blood clots. ",FALSE,https://www.nidirect.gov.uk/conditions/cardiomyopathy
Cerebral palsy,"Cerebral palsy is the name for a group of lifelong conditions that affect movement and co-ordination, caused by a problem with the brain that occurs before, during or soon after birth. Speak to your health visitor or GP if you have any concerns about your child's health or development.","The symptoms of cerebral palsy aren't usually obvious just after a baby is born. They normally become noticeable during the first two or three years of a child's life.

Symptoms can include:
- delays in reaching development milestones - for example, not sitting by eight months or not walking by 18 months
- seeming too stiff or too floppy
- weak arms or legs
- fidgety, jerky or clumsy movements
- random, uncontrolled movements
- walking on tip-toes
- a range of other problems - such as difficulty swallowing, speaking problems, vision problems and learning disabilities

The severity of symptoms can vary significantly. Some people only have minor problems, while others may be severely disabled.
","There's currently no cure for cerebral palsy, but treatments are available to help people with the condition have a normal and independent a life as possible.

Treatments include:
- physiotherapy - techniques such as exercise and stretching to help maintain physical ability and hopefully improve movement problems
- speech therapy to help with speech and communication problems, and difficulty swallowing
- occupational therapy - where a therapist identifies problems that you or your child have carrying out everyday tasks and suggests ways to make these easier
- medication for muscle stiffness and other problems
- in some cases, surgery to treat movement or growth problems

A team of healthcare professionals will work with you to come up with a treatment plan that meets your or your child's needs.","Cerebral palsy can occur if a baby's brain doesn't develop normally while in the womb, or is damaged during or soon after birth.

Causes of cerebral palsy include:
- bleeding in the baby's brain or reduced blood and oxygen supply to their brain
- an infection caught by the mother during pregnancy
- the brain temporarily not getting enough oxygen (asphyxiation) during a difficult birth
- meningitis
- a serious head injury

But in many cases, the exact cause isn't clear. ",FALSE,https://www.nidirect.gov.uk/conditions/cerebral-palsy
Dehydration,"Dehydration occurs when your body loses more fluid than you take into your body.
","Water makes up over two-thirds of the healthy human body. It lubricates the joints and eyes, helps digestion, flushes out waste and toxins, and keeps the skin healthy.

When the normal water content of your body is reduced, it upsets the balance of minerals (salts and sugar) in your body. This affects the way your body functions.

Signs of dehydration can vary depending on how much of your body weight is lost through fluids.

Early warning signs of dehydration include:
- thirst
- dark-coloured urine

This is the body's way of trying to increase water intake and decrease water loss.

You should be able to reverse dehydration at this stage by drinking more fluids.

Dehydration can lead to a loss of strength and stamina. It's a main cause of heat exhaustion.

#Dehydration in children 
Signs of moderate dehydration in a child include:
- appears to be unwell or deteriorating
- altered responsiveness (for example irritable, lethargic)
- skin colour unchanged
- decreased urine output
- rapid breathing 
-- in a child of 6-12 months of age, of more than 50 breaths per minute
-- over 12 months of age, of more than 40 breaths per minute 
- a faster heart rate than usual
-- over 160 beats per minute  is a fast heart rate in a child under 1 year of age
-- over 150 beats/minute in a child 1-2 years of age 
-- over 140 beats per minute in a child 2-5 years of age

Signs of severe dehydration in a child include:
- decreased level of consciousness
- pale or mottled skin
- cold extremities, (that is, hands and feet)
- more rapid breathing
- an even faster heart rate

#Dehydration in babies 
A baby may be dehydrated if they have:
- a sunken soft spot (fontanelle) on their head
- few or no tears when they cry
- a dry mouth
- fewer wet nappies
- dark yellow urine
- drowsiness
- fast breathing
- cold and blotchy-looking hands and feet","#Babies 
- if you think your baby is dehydrated, take them to see your GP as soon as possible -they'll be able to recommend appropriate treatments
- give your baby plenty of liquids, such as breastmilk or formula -  it can often be better to give them smaller amounts of fluid more often
- don't dilute your baby's formula (if you use it) -  babies who are formula-fed and those on solids can be given extra water
- avoid giving your baby fruit juice, particularly if they have diarrhoea and vomiting, because it can make it worse
- giving your baby regular sips (a few times an hour) of oral rehydration solution in addition to their usual feed (breastmilk, formula milk and water) will help to replace lost fluids, salts and sugars

#Infants and children 
- infants and children who are dehydrated shouldn't be given solely water, because it can dilute the already low level of minerals in their body and make the problem worse
- instead, they should have diluted squash or a special oral rehydration solution  (see below)
- if you or your child is finding it difficult to hold down fluids because of vomiting, take smaller amounts more often. You may find it easier to use a spoon or a syringe to give your child small amounts of fluid","You should drink plenty of fluids to avoid becoming dehydrated.

Most of the time, you can prevent dehydration by drinking water regularly throughout the day. Be guided by your thirst. However in hot weather, when exercising and during illness, you should drink more.

As a guide, passing pale or clear-coloured urine (pee) is a good sign that you're well hydrated.

It is important for children to replace lost fluid, to prevent dehydration. Like adults, children lose more water when they are in hotter climates and when they are physically active.

You should give your child healthy drinks as part of an overall healthy, balanced diet.


",FALSE,https://www.nidirect.gov.uk/conditions/dehydration
Dengue,Dengue is a viral infection spread by mosquitoes. It's widespread in many parts of the world. There's no specific treatment or widely available vaccine for dengue. So it's important to try to avoid being bitten by mosquitoes when visiting an area where the infection is found.,"Symptoms of dengue usually develop suddenly 4 to 10 days after becoming infected.

Symptoms can include:
- a high temperature (fever), which can reach 40C (104F) or higher
- a severe headache
- pain behind the eyes
- muscle and joint pain
- feeling or being sick
- a widespread red rash
- loss of appetite

The symptoms normally pass in about a week, although you may feel tired and slightly unwell for several weeks afterwards.

In about 5 cases of infection in every 100, severe dengue can develop after the first symptoms. In a small number of cases, a person with severe dengue may die.
","There's no cure or specific treatment for dengue. Treatment involves relieving your symptoms while the infection runs its course.

You can usually look after yourself at home.

The following can help:
- take paracetamol to relieve pain and fever - avoid aspirin or ibuprofen, as these can cause bleeding problems in people with dengue
- drink plenty of fluids to prevent dehydration - if you're currently abroad, only drink bottled water from properly sealed bottles
- get plenty of rest

You should start to feel better in around a week. Although it may be a few weeks before you feel your normal self again. Get medical advice if your symptoms don't improve.","There's currently no widely available vaccine for dengue. You can prevent it by avoiding being bitten by mosquitoes.

The following can reduce your risk of being bitten:
- use insect repellent - products containing 50 per cent DEET are most effective, but lower concentrations (15-30 per cent DEET) should be used in children, and alternatives to DEET should be used in children younger than two months
- wear loose but protective clothing - mosquitoes can bite through tight-fitting clothes; trousers, long-sleeved shirts, and socks and shoes (not sandals) are ideal
- sleep under a mosquito net - ideally one that has been treated with insecticide
- be aware of your environment - mosquitoes that spread dengue breed in standing water in urban areas

It's a good idea to speak to your GP, practice nurse or a travel clinic before travelling. This is to get specific advice about what you can do to avoid dengue and other travel illnesses.",FALSE,https://www.nidirect.gov.uk/conditions/dengue
Ebola virus disease,"Ebola is a rare but severe disease caused by the Ebola virus. It is not an airborne disease and can only be transmitted by physical contact with infected individuals, their blood or bodily fluids; or contact with objects contaminated with infected blood or bodily fluids.
","A person infected with Ebola virus will typically develop:
- a high temperature (fever)
- a headache
- joint and muscle pain
- a sore throat
- severe muscle weakness

These symptoms start suddenly between 2 and 21 days after becoming infected.

Diarrhoea, vomiting, a rash, stomach pain, red eyes and reduced kidney and liver function can follow. The person may then bleed internally, and may also bleed from the ears, eyes, nose or mouth.","There's currently no licensed treatment or vaccine for Ebola, although potential new vaccines and drug therapies are being developed and tested.

Any area affected by an outbreak should be immediately quarantined. People confirmed to have the infection should be treated in isolation in intensive care.

Healthcare workers need to avoid contact with the bodily fluids of their infected patients by taking strict precautions, such as wearing protective equipment.

Ebola virus disease is sometimes fatal. The sooner a person is given care, the better the chance they'll survive.","The Ebola outbreak in west Africa is now over. The risk of catching the infection while travelling to previously affected countries is very small.

But if you're visiting one of these areas, it's still a good idea to follow these simple precautions to minimise your risk of picking up potentially serious infections:
- wash your hands often using soap and water - use alcohol hand rubs when soap isn't available
- make sure fruit and vegetables are properly washed and peeled before you eat them
- avoid physical contact with anyone who has possible symptoms of an infection
- don't handle dead animals or their raw meat
- don't eat ""bushmeat""",FALSE,https://www.nidirect.gov.uk/conditions/ebola-virus-disease
